Date,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
1995-11-01,7.248225688934326,14.583613395690918,11.432086944580078,10.3108491897583,8.529629707336426,8.687917709350586,11.542226791381836,3.311556577682495,3.2675487995147705,10.124402046203613,2.478748321533203,7.526684284210205
1995-12-01,6.938222885131836,14.302098274230957,10.810933113098145,10.176935195922852,8.3519287109375,8.515873908996582,11.718780517578125,3.335310697555542,3.5492348670959473,9.714735984802246,2.298006534576416,7.891463279724121
1996-01-01,7.6518874168396,15.607810020446777,12.837061882019043,11.426738739013672,9.606512069702148,8.64490032196045,11.387744903564453,3.515855073928833,3.8590896129608154,9.876297950744629,2.1043541431427,7.806344509124756
1996-02-01,7.934191703796387,15.911457061767578,14.539929389953613,11.166913032531738,10.269640922546387,9.261370658874512,11.579937934875488,3.75103497505188,3.727710247039795,9.64114761352539,2.194725275039673,7.80522346496582
1996-03-01,8.082772254943848,15.516708374023438,13.191165924072266,11.017627716064453,10.108344078063965,9.520055770874023,11.4910306930542,3.919703722000122,3.80552077293396,9.964478492736816,2.380707025527954,8.001568794250488
1996-04-01,7.6617512702941895,15.087310791015625,12.776159286499023,11.04748249053955,9.918678283691406,9.376245498657227,11.691061019897461,4.304545879364014,3.897472381591797,9.981849670410156,2.471278190612793,8.345200538635254
1996-05-01,7.8409743309021,14.783138275146484,12.69958209991455,11.67679214477539,10.062424659729004,10.584229469299316,12.217629432678223,4.513596057891846,4.022246837615967,10.380536079406738,2.678295373916626,8.40001392364502
1996-06-01,8.09487247467041,15.300240516662598,11.777596473693848,11.871658325195312,10.15227222442627,11.304571151733398,12.351884841918945,4.565858840942383,4.0577802658081055,10.705389976501465,2.6318047046661377,8.610631942749023
1996-07-01,7.919023036956787,13.56194019317627,12.788802146911621,11.451956748962402,10.069560050964355,10.814316749572754,12.089176177978516,4.480337619781494,3.9895708560943604,10.599411010742188,2.4891953468322754,8.152220726013184
1996-08-01,8.2796630859375,13.897184371948242,13.650270462036133,11.854096412658691,10.77587890625,11.535269737243652,12.878753662109375,4.656131267547607,4.053802490234375,10.554871559143066,2.740826368331909,8.155867576599121
1996-09-01,9.061042785644531,15.420997619628906,14.858654022216797,12.335479736328125,11.60897445678711,11.765210151672363,13.066082000732422,5.012468338012695,4.517707347869873,11.57918930053711,2.740826368331909,8.330997467041016
1996-10-01,8.293986320495605,16.08881378173828,15.395708084106445,11.854096412658691,12.510310173034668,11.678495407104492,14.307119369506836,5.216766357421875,4.7246785163879395,11.81198501586914,2.7538156509399414,8.868878364562988
1996-11-01,9.563013076782227,18.04267120361328,19.072107315063477,12.86491584777832,13.786870002746582,11.851865768432617,15.782547950744629,5.962699890136719,5.135124206542969,12.975289344787598,2.649898052215576,9.529237747192383
1996-12-01,9.094686508178711,17.035213470458984,18.129728317260742,12.019330024719238,13.039178848266602,12.199597358703613,15.641210556030273,6.281026840209961,4.755540370941162,12.841060638427734,2.3691277503967285,9.895259857177734
1997-01-01,9.430399894714355,17.8269100189209,18.772945404052734,13.952088356018066,13.580168724060059,13.416665077209473,16.06521987915039,7.753884315490723,5.299848556518555,13.851215362548828,2.4732635021209717,10.463227272033691
1997-02-01,9.506322860717773,18.163267135620117,17.24287223815918,13.935182571411133,14.699618339538574,14.141111373901367,17.44522476196289,7.411801338195801,5.269404888153076,14.390290260314941,2.746626615524292,10.200784683227539
