,dollar_6mo_momentum
2020-07-01,0.012733454587871451
2020-08-01,-0.016133364157447816
2020-09-01,-0.04557329178707936
2020-10-01,-0.05061515446303755
2020-11-01,-0.0638318982552516
2020-12-01,-0.07593913247759299
2021-01-01,-0.04485266389211684
2021-02-01,-0.025294017031995852
2021-03-01,-0.026701212525439
2021-04-01,-0.034886003750794314
2021-05-01,-0.021797190741316474
2021-06-01,0.01110702867219615
2021-07-01,0.006434059156185334
2021-08-01,0.002455007772714124
2021-09-01,0.007176907384597531
2021-10-01,0.01829879224402431
2021-11-01,0.049202041214327474
2021-12-01,0.024252509699848934
2022-01-01,0.025690636665560262
2022-02-01,0.01869724050373267
2022-03-01,0.005072387284401847
2022-04-01,0.046947953693392774
2022-05-01,0.01603430427228636
2022-06-01,0.04928914063652057
2022-07-01,0.05366457262516655
2022-08-01,0.07214395811925467
2022-09-01,0.10668987986648348
2022-10-01,0.0680255713081821
2022-11-01,0.04613434019025919
2022-12-01,0.003806053311200319
2023-01-01,-0.02289275161413773
2023-02-01,-0.01781600356174351
2023-03-01,-0.06395022381715687
2023-04-01,-0.06579670103642088
2023-05-01,-0.020655372720464693
2023-06-01,-0.017006298507069362
2023-07-01,-0.00971674278577439
2023-08-01,-0.009140876307649815
2023-09-01,0.024694161035252904
2023-10-01,0.03867987197294509
2023-11-01,-0.005975222830840399
2023-12-01,-0.007873619938237653
2024-01-01,0.022143177838829242
2024-02-01,0.007963401954668381
2024-03-01,-0.010535722607816211
2024-04-01,-0.006872777309417932
2024-05-01,0.015423715563598561
2024-06-01,0.04888921540810398
2024-07-01,0.026605642468723323
2024-08-01,0.009438664360501114
2024-09-01,0.0022087422563876746
2024-10-01,0.014745664725784424
2024-11-01,0.036706579960359864
2024-12-01,0.04079532856775958
2025-01-01,0.039191247301582965
2025-02-01,0.04867559034777491
2025-03-01,0.044696684871510683
2025-04-01,-0.017682061045458775
2025-05-01,-0.03801870440623234
2025-06-01,-0.07633733635009965
2025-07-01,-0.05262805605108223
2025-08-01,-0.06292694524888809
2025-09-01,-0.051857230234990004
2025-10-01,-0.009839133190474691
2025-11-01,-0.005869387044479812
2025-12-01,0.002820562638599533
2026-01-01,-0.03139474700339295
2026-02-01,-0.019848063609637312
2026-03-01,0.007476476816429267
2026-04-01,-0.022365859626200413
2026-05-01,-0.017962424629933915
2026-06-01,0.009528533825042373
