,turnover
2016-02-01,0.19999995841451682
2016-03-01,0.19999978182107514
2016-04-01,0.19999992383074727
2016-05-01,0.19999979498678572
2016-06-01,0.19999967591495157
2016-07-01,0.14627082637976688
2016-08-01,0.1581834858997934
2016-09-01,0.15818326463019403
2016-10-01,3.0875224843119267e-07
2016-11-01,0.19999991204406875
2016-12-01,0.1999999491561969
2017-01-01,0.19999975663835948
2017-02-01,0.08503556250151391
2017-03-01,3.416559345066822e-08
2017-04-01,1.1825433519705648e-08
2017-05-01,1.5106414728556889e-09
2017-06-01,1.2553587973075864e-08
2017-07-01,0.19999995910125692
2017-08-01,0.12400187748074495
2017-09-01,7.333975059369206e-07
2017-10-01,1.1154760975835058e-08
2017-11-01,1.7353447826543309e-09
2017-12-01,9.805608770563438e-09
2018-01-01,5.0639324201613535e-09
2018-02-01,1.4492335358311392e-09
2018-03-01,0.1409622812741115
2018-04-01,0.19999981762177324
2018-05-01,0.19999981489480204
2018-06-01,0.199999876802936
2018-07-01,0.199999917534573
2018-08-01,0.1999991618813583
2018-09-01,0.17682169438062556
2018-10-01,3.5113907943661944e-07
2018-11-01,1.208596033353566e-09
2018-12-01,0.19999998489063184
2019-01-01,0.1999999737421347
2019-02-01,0.19999997668762567
2019-03-01,0.19999989858853498
2019-04-01,0.14329374780918372
2019-05-01,8.923114898908451e-09
2019-06-01,0.19201213636845543
2019-07-01,0.19999985452321706
2019-08-01,0.007987761765851977
2019-09-01,0.1999999693482711
2019-10-01,0.10897794707000752
2019-11-01,0.19999996028866715
2019-12-01,0.1999969714672594
2020-01-01,0.0926328128822673
2020-02-01,0.1742499350288383
2020-03-01,0.1999997301805468
2020-04-01,0.1999999719761336
2020-05-01,0.1999999820967902
2020-06-01,0.1999998758334557
2020-07-01,0.19999983645152117
2020-08-01,0.058946830932509416
2020-09-01,7.101739674360716e-09
2020-10-01,0.1999996531438355
2020-11-01,0.13851046715763557
2020-12-01,1.1621916268767352e-08
2021-01-01,0.199999986168474
2021-02-01,0.17440444591477972
2021-03-01,0.19999992504124015
2021-04-01,0.17440445389600867
2021-05-01,0.1999999859651366
2021-06-01,0.16353084726923076
2021-07-01,5.3506561437300684e-08
2021-08-01,1.161443623586234e-09
2021-09-01,4.248162017017032e-11
2021-10-01,6.500009507217247e-11
2021-11-01,0.19999997867825037
2021-12-01,0.18906418242114378
2022-01-01,1.774174268492958e-08
2022-02-01,4.825837267559768e-09
2022-03-01,1.7216020198859546e-08
2022-04-01,0.035272798670515706
2022-05-01,0.03527277206915294
2022-06-01,1.2129690582331227e-07
2022-07-01,5.606339622249334e-07
2022-08-01,0.17785850123598582
2022-09-01,3.283114512102921e-09
2022-10-01,4.56522555246799e-09
2022-11-01,0.19999999523721834
2022-12-01,0.19999994201138951
2023-01-01,0.1999998391116627
2023-02-01,0.10263514852855593
2023-03-01,3.2760851803587373e-07
2023-04-01,0.19999998005165207
2023-05-01,0.1999998310126285
2023-06-01,0.1999997794300721
2023-07-01,0.12146135219516899
2023-08-01,2.723558411814805e-07
2023-09-01,4.4887221005704354e-08
2023-10-01,1.282550319966175e-07
2023-11-01,1.6306418435585682e-07
2023-12-01,0.0013729944773209371
2024-01-01,0.0013729757793610987
2024-02-01,0.19999997467852618
2024-03-01,0.1999999709394526
2024-04-01,0.1999999770444889
2024-05-01,0.1082739102639537
2024-06-01,0.1619503925109676
2024-07-01,0.08687027048851119
2024-08-01,0.16271930998209777
2024-09-01,0.1627192597124147
2024-10-01,2.888179999827374e-07
2024-11-01,3.0287155446160296e-09
2024-12-01,9.93326989904412e-08
2025-01-01,5.829048321386573e-08
2025-02-01,0.0762703990939256
2025-03-01,0.08853173179739215
2025-04-01,0.19999976658288254
2025-05-01,0.19999998763778484
2025-06-01,0.01747419984103271
2025-07-01,1.2106263297806744e-08
2025-08-01,0.1999821037397309
2025-09-01,0.19998341753355592
2025-10-01,0.0010447096839697797
2025-11-01,1.082214650360544e-05
2025-12-01,1.7669766084487916e-05
2026-01-01,1.3773092719176373e-05
2026-02-01,0.19999112020124193
2026-03-01,0.1999944033987796
2026-04-01,1.0485936317925405e-05
2026-05-01,1.8764009731800423e-08
2026-06-01,8.31970831857921e-08
2026-07-01,1.0227864313696049e-05
