,var_estimate
2011-09-01,0.05042315022469623
2011-10-01,0.05042315018740418
2011-11-01,0.053330709382536784
2011-12-01,0.050639093017869286
2012-01-01,0.05063909516143276
2012-02-01,0.0506390951429205
2012-03-01,0.05063909511755887
2012-04-01,0.05063909513474461
2012-05-01,0.04973241982129697
2012-06-01,0.050639094764458256
2012-07-01,0.05063909497232599
2012-08-01,0.04973241931584246
2012-09-01,0.04973241822338281
2012-10-01,0.04973242587017363
2012-11-01,0.049732423333468494
2012-12-01,0.04973242175676399
2013-01-01,0.049732420775743
2013-02-01,0.04973242007729138
2013-03-01,0.04973242025229737
2013-04-01,0.04973241990472143
2013-05-01,0.04973241955809502
2013-06-01,0.04973241927157878
2013-07-01,0.05063909458934143
2013-08-01,0.0514625448961489
2013-09-01,0.051462547911935816
2013-10-01,0.05155590780961785
2013-11-01,0.05155590760044123
2013-12-01,0.04546382504610604
2014-01-01,0.04520754835306562
2014-02-01,0.04303549707927866
2014-03-01,0.04459772792597198
2014-04-01,0.0402234581775426
2014-05-01,0.03836257628489251
2014-06-01,0.036758015688070904
2014-07-01,0.03504270380643993
2014-08-01,0.035026709637177036
2014-09-01,0.0346295836942526
2014-10-01,0.03502670625614121
2014-11-01,0.036040129371328035
2014-12-01,0.03500227833519678
2015-01-01,0.0350022419383751
2015-02-01,0.03500223936739435
2015-03-01,0.03774851959992746
2015-04-01,0.037748520765903466
2015-05-01,0.0377485206334309
2015-06-01,0.0377485202608738
2015-07-01,0.035996812125433424
2015-08-01,0.03257772896632573
2015-09-01,0.03226775306566248
2015-10-01,0.03581011822229634
2015-11-01,0.03746667838308288
2015-12-01,0.036860283970636704
2016-01-01,0.03813304368625877
2016-02-01,0.040053942192656664
2016-03-01,0.04225552214177128
2016-04-01,0.044389757471488746
2016-05-01,0.041923597510511064
2016-06-01,0.040331183890994264
2016-07-01,0.03800855678398433
2016-08-01,0.04015376338244887
2016-09-01,0.03800856035189496
2016-10-01,0.03800855615449027
2016-11-01,0.03477662480946151
2016-12-01,0.03625708718286335
2017-01-01,0.03494798290314022
2017-02-01,0.03280204250532127
2017-03-01,0.03280204251974506
2017-04-01,0.03280204250592364
2017-05-01,0.03280204250365302
2017-06-01,0.03280204248903118
2017-07-01,0.031717444423333165
2017-08-01,0.03161318643574037
2017-09-01,0.03161318621551471
2017-10-01,0.03161318624769977
2017-11-01,0.03161318624683983
2017-12-01,0.03161318623672862
2018-01-01,0.031613186220146805
2018-02-01,0.0316131862196547
2018-03-01,0.03597118254353005
2018-04-01,0.04531571931184359
2018-05-01,0.043062522935482586
2018-06-01,0.04178918495439113
2018-07-01,0.03984507350639957
2018-08-01,0.038955857619868625
2018-09-01,0.038399186197278085
2018-10-01,0.03839918498324853
2018-11-01,0.03839918497443582
2018-12-01,0.043586084486518364
2019-01-01,0.04272417186294936
2019-02-01,0.04831591153990974
2019-03-01,0.048714536483681674
2019-04-01,0.04709711166130676
2019-05-01,0.04709711154444853
2019-06-01,0.03770294493451772
2019-07-01,0.047257928237092704
2019-08-01,0.04709711152083853
2019-09-01,0.051123544970284186
2019-10-01,0.05331750618969628
2019-11-01,0.04921483240363165
2019-12-01,0.044834149878625544
2020-01-01,0.04430860428540995
2020-02-01,0.04709711220840988
2020-03-01,0.04945951484137462
2020-04-01,0.057396589180711124
2020-05-01,0.05762830810421101
2020-06-01,0.062244535444953245
2020-07-01,0.06042199336411041
2020-08-01,0.059892746842566215
2020-09-01,0.0598927470136882
2020-10-01,0.05869782325052869
2020-11-01,0.05670525404764704
2020-12-01,0.056705253841972406
2021-01-01,0.0467185428254499
2021-02-01,0.0418211577837295
2021-03-01,0.04797698028905675
2021-04-01,0.05670525380974762
2021-05-01,0.046718542287220784
2021-06-01,0.04036303203403407
2021-07-01,0.04036302894212572
2021-08-01,0.04036302890049947
2021-09-01,0.04036302889767663
2021-10-01,0.04036302889965502
2021-11-01,0.05679906376892611
2021-12-01,0.056232142872586814
2022-01-01,0.05623214267883303
2022-02-01,0.056232142545492754
2022-03-01,0.05623214228016799
2022-04-01,0.057171222921282405
2022-05-01,0.05623214299336928
2022-06-01,0.05623214107108437
2022-07-01,0.056232133083621016
2022-08-01,0.054093631742692334
2022-09-01,0.05409363162510696
2022-10-01,0.05409363159490861
2022-11-01,0.05896924002406152
2022-12-01,0.05953631250026658
2023-01-01,0.05974278062873223
2023-02-01,0.0601959769827109
2023-03-01,0.06019597824445435
2023-04-01,0.053548963517666144
2023-05-01,0.0507719819263759
2023-06-01,0.05196696872523592
2023-07-01,0.05229762879663169
2023-08-01,0.052297629641711266
2023-09-01,0.05229762904615588
2023-10-01,0.05229762712641904
2023-11-01,0.05229763071197313
2023-12-01,0.05231926410999695
2024-01-01,0.052297630266041
2024-02-01,0.04506914610509172
2024-03-01,0.04209566004610163
2024-04-01,0.04001162900120302
2024-05-01,0.04056060027260658
2024-06-01,0.04005959063875034
2024-07-01,0.03922298959055449
2024-08-01,0.04093153522575649
2024-09-01,0.039222989906608365
2024-10-01,0.03922298941362139
2024-11-01,0.03922298940856142
2024-12-01,0.03922299010994405
2025-01-01,0.03922298942562537
2025-02-01,0.04264122055458214
2025-03-01,0.04191426053221997
2025-04-01,0.040973562719824524
2025-05-01,0.03886789711697754
2025-06-01,0.03891215387537834
2025-07-01,0.038912153863162664
2025-08-01,0.039309790484335166
2025-09-01,0.03970742942206537
2025-10-01,0.03970950685755183
2025-11-01,0.03970948561098629
2025-12-01,0.039709521014529514
2026-01-01,0.0397094936074567
2026-02-01,0.03931183879970892
2026-03-01,0.0397094996993895
2026-04-01,0.03970952112937086
2026-05-01,0.03970952111517122
2026-06-01,0.0397095210272703
2026-07-01,0.03970950067024193
