,equal_weight,cap_weighted,min_variance,mean_variance,risk_parity,momentum
2002-04-01,-0.039585482386188975,-0.08309089278684705,-0.03979804490360351,-0.10468771909766622,-0.03782746169040585,-0.02054923218091078
2002-05-01,-0.017627359018204825,-0.024793053069275057,-0.015368874002837263,-0.0361035315042248,-0.017297799359844844,-0.01943115521373443
2002-06-01,-0.03517077422469478,0.011861117846855559,-0.017776401266669788,-0.03837974740802475,-0.03265695944179861,-0.032718753016214165
2002-07-01,-0.0752425357424824,-0.09887596498351504,-0.047413500375456205,-0.04286802741662921,-0.06500001806831264,-0.043745092308073
2002-08-01,0.0125558399344868,0.03362358316022917,-0.0004906445441096893,0.03198875404894758,0.007848484484662159,0.01920580875303055
2002-09-01,-0.10584676879212859,-0.09898928485089088,-0.09009126344598506,-0.09000632796393905,-0.09515742631215235,-0.058489974476493886
2002-10-01,0.11166870403604631,0.12073684801108031,0.09479140243628606,0.11752759335795239,0.1016107307360448,0.057769068543854996
2002-11-01,0.0658745877645214,0.036070066047288886,0.022733763301596425,-0.0002434858600354819,0.04911834878127283,0.028469689997865633
2002-12-01,-0.06069295009273219,-0.06357380205663882,-0.030820186852597516,-0.054903410370407045,-0.051680275587176125,-0.046088565084265065
2003-01-01,-0.015923119000923393,-0.04220538993630077,-0.004663061321253883,-0.019126102779670594,-0.01347933575065344,-0.025480018337731315
2003-02-01,-0.0040414989997958235,-0.005313843834607202,-0.012489375406861224,-0.0037859353786616904,-0.006905369574187561,0.002596520025977601
2003-03-01,0.04291829321118169,0.047637088505622725,0.04820350766105803,0.06578285093055873,0.046223814927029906,0.05247742203090376
2003-04-01,0.049838999498821875,0.044868108360619136,0.011307919993720505,0.02121291319272034,0.033264464138149576,0.006375976691207633
2003-05-01,0.023461321451647678,-0.010066072752526013,0.017387937960347523,-0.014625528358328253,0.022029094554471617,-0.005794583897444749
2003-06-01,0.013862621709348258,0.030529900680926234,0.017246002098677084,-0.012633704499455518,0.010484399344128427,0.009524318766853583
2003-07-01,0.03645624344717728,0.016333881753969482,0.015639155122829033,0.028804834474095188,0.028059517431731334,0.05890889591656782
2003-08-01,-0.0031868250150716227,-0.0030430978564276383,-0.004126394799729951,0.011750313247544735,-0.00359722138122592,-3.430864630114681e-05
2003-09-01,0.002053764907495241,0.004417898254010012,0.006878364692755351,-0.005580153212032374,0.0030322066771130136,-0.010824361074058
2003-10-01,0.05046130065989127,0.01606863570625343,0.05213335539048217,0.06793576583771942,0.051428733586162324,0.07665662624841456
2003-11-01,0.0021244517584874415,-0.008390967734105912,0.011478728996718611,-0.013439950375458346,0.002927337859536842,0.0077393491994791315
2003-12-01,0.052537059644517735,0.03914307269369603,0.06683308514917514,0.032739725594317766,0.05578644516626991,0.04757706877201596
2004-01-01,0.010126171383388272,0.01764201378850521,0.004549542017182803,-0.008289266017570721,0.008183035179903101,0.004222728715558265
2004-02-01,0.02065922051327302,0.019100997027471756,0.02813042144035825,0.0050403953177247975,0.02235835002651178,0.022158757414740365
2004-03-01,-0.010662618887008583,-0.025504410857617406,-0.008793728791739756,0.017763862748050172,-0.009729460156358895,0.0033974307265587983
2004-04-01,-0.003365972297508039,0.004146004384408722,0.013712126210475706,0.012051692936105066,0.0035122925275063396,-0.01606415851367825
2004-05-01,0.0023366150950073997,-0.0003893605111841796,0.007573205605906432,-0.00435681327089756,0.005886990760187162,-0.0020383924573895333
2004-06-01,0.02311772736593335,0.01366712445422971,0.020081825281236393,0.01613668389710235,0.019199093492366866,0.04530825866407935
2004-07-01,-0.04037387877089406,-0.020128726224372458,-0.027651679821583532,-0.030254327807741253,-0.03862551420190232,-0.045659722825443984
2004-08-01,0.0113938301000198,0.0015640477517116197,0.018839843972769606,0.020542908886641884,0.016321697901334798,0.0168840320902891
2004-09-01,-0.0046983623996144745,-0.007087570525800816,-0.008162994836618335,0.004304144453588595,-0.008869566458420141,0.010871544234555816
2004-10-01,0.009381910311195842,0.0010503670070095414,-0.011438788062763598,-0.008719567032189372,0.004321657752462062,-0.016692057018751216
2004-11-01,0.03018453971350487,0.017879630134910136,0.02851084442239083,0.05585304825425502,0.028905548683939197,0.04526641736247656
2004-12-01,0.028725368672265647,0.009628548112730019,0.01169410221848035,0.033888266320672024,0.02641231656213289,0.03182023077400508
2005-01-01,-0.020290004071510534,-0.023243874641363613,-0.01801089055817549,-0.011104299421441704,-0.01778688090940472,-0.01204649629408115
2005-02-01,0.028038662179995906,0.019463086312250955,0.06706461970214,0.07942585645349691,0.03710719226351626,0.044899826370870644
2005-03-01,-0.014835524547517732,-0.025604086638929536,-0.017026402512267797,-0.011611771047103809,-0.012958851117322567,-0.004395152389685201
2005-04-01,-0.023286023746908944,0.0006492280289167989,-0.011284575512030237,-0.04037423685720876,-0.014715552521389414,-0.03279108110686912
2005-05-01,0.01633882848308478,0.013995973265410949,0.008547611530671953,0.017743012168953784,0.014409001404334322,0.018671832313995815
2005-06-01,-0.02459568673651128,-0.0164222195725695,-0.024013800751362082,-0.019884864982426673,-0.025802424722034655,-0.026672685819205396
2005-07-01,0.03764003787485851,0.01954317536467546,0.02586184005116138,0.05419594489091957,0.0328957920660765,0.042020355362542616
2005-08-01,-0.010256902201684077,0.0005827848665691057,-0.007105551223779299,0.001126260587760916,-0.010105609484465565,0.017020451378706433
2005-09-01,0.004743861198222607,-0.01636950374663197,0.018519407220180552,0.05327656740996496,0.011638740551227824,0.022380367264220716
2005-10-01,-0.015427579599852068,-0.016775336041698227,-0.03723974426576027,-0.0659115837057891,-0.025589807805609696,-0.045579677307086265
2005-11-01,0.03660134247221812,0.03965000923814563,0.019817978461858492,0.04550391554071769,0.02796203489207021,0.029464207860315648
2005-12-01,-0.014142712743981933,-0.02045920406446803,-0.017722718670960896,-0.00817367354390082,-0.012044770658364725,-0.026484474573605817
2006-01-01,0.038835095323698124,0.048515007693969686,0.029713682978929533,0.060603939803658,0.03450434756839461,0.072915920702722
2006-02-01,0.015043801171330359,-0.011732612296772768,-0.00034171698031283264,0.008103556602524898,0.011189686080208408,0.007709946599139431
2006-03-01,0.006320606306266491,0.00901805886485652,0.0062342687277696,-0.0008648514651150232,0.003429191660226891,-0.009224059743415286
2006-04-01,0.01563574577250265,-0.028723545631503932,0.007886992053774874,0.04412187961602267,0.01275819181496655,0.012996309411598192
2006-05-01,-0.00818173484975684,-0.017310237926366125,0.0006335916476190374,-0.029361890892544044,-0.00836515029495558,-0.03431859980540539
2006-06-01,-0.0047833963951579,0.004485442216679823,0.0016126947056389635,0.005542024832202791,-0.0020403038215763554,-0.006169853497084649
2006-07-01,0.015197956819968363,0.028853122613810032,0.019087362492480612,-0.004476161878365504,0.017696998833966575,0.0038071541263699138
2006-08-01,0.0261487729724589,0.03970920372749836,0.04355943476866279,0.017730858114102573,0.035453097394069835,0.010809350877413963
2006-09-01,0.025827819295216065,0.04214302342494795,0.024204855824590442,0.0008297649371658641,0.023522344934696956,0.009765966274385316
2006-10-01,0.02604415727719852,0.02300259145359039,0.026763700528755787,0.01657406788980308,0.025259184890669698,-0.0011863293962760303
2006-11-01,0.01259526415567665,0.010077054395939956,-0.001823121459328726,0.030669746864841228,0.009207365567562674,0.008018408148070949
2006-12-01,0.009172926093096008,0.0052793601802111146,0.00357505225873284,0.00566730955054672,0.00666506891430438,0.006675861434334301
2007-01-01,0.014728888322924098,0.01938800645237532,0.006835095540456118,0.008063142436959679,0.01097373015899409,0.012300626052926717
2007-02-01,-0.02866404875902026,-0.04156657797255985,-0.022632150520108887,-0.017908378834147826,-0.026756949431892545,-0.042634506790323996
