,regime_cvar_rho1.0
2006-05-01,-0.010151055665372194
2006-06-01,-0.0018129449333962227
2006-07-01,0.0066533311382219245
2006-08-01,0.04100588638596502
2006-09-01,0.018905797667062033
2006-10-01,0.04226924741058716
2006-11-01,0.013463958235059659
2006-12-01,-0.0026530129323399008
2007-01-01,-0.008083513006502136
2007-02-01,-0.021444527112391466
2007-03-01,0.005570306811595661
2007-04-01,0.05097439639333063
2007-05-01,0.020753594133043632
2007-06-01,-0.015249520065164501
2007-07-01,0.004275973296966103
2007-08-01,0.02685776941926268
2007-09-01,0.05842244855092558
2007-10-01,0.006516175130677759
2007-11-01,0.027898283329537563
2007-12-01,0.0056221339019033615
2008-01-01,-0.043912424969550244
2008-02-01,-0.011512020672071287
2008-03-01,0.0349076952522569
2008-04-01,0.056620971015405204
2008-05-01,-0.01957963327346402
2008-06-01,-0.06993886632868623
2008-07-01,0.03231607863928869
2008-08-01,0.019437961652047822
2008-09-01,-0.023794055554847666
2008-10-01,-0.09870698493092656
2008-11-01,0.004719975580983879
2008-12-01,-0.0013446082753357873
2009-01-01,-0.09283186632963633
2009-02-01,-0.08113607705795994
2009-03-01,0.040582676408710015
2009-04-01,0.024926358123485256
2009-05-01,0.0211290057879595
2009-06-01,0.004391638755147942
2009-07-01,0.08007993492915041
2009-08-01,0.005220549940418053
2009-09-01,0.0034782184281952496
2009-10-01,0.01015012503770215
2009-11-01,0.07087683797452303
2009-12-01,-0.016998162529154877
2010-01-01,-0.03612445680551415
2010-02-01,0.014804200399750205
2010-03-01,0.03132210025055414
2010-04-01,-0.011805477921402885
2010-05-01,-0.06316835488949384
2010-06-01,-0.029163889586364514
2010-07-01,0.045091219812969215
2010-08-01,-0.017079506328641126
2010-09-01,0.05255557968977822
2010-10-01,0.057446768682475724
2010-11-01,-0.0007075409569379926
2010-12-01,0.036246266054065245
2011-01-01,0.055705998611328966
2011-02-01,0.003452756384502633
2011-03-01,-0.007820300158036872
2011-04-01,0.05489805650801173
2011-05-01,-0.0009961593423313115
2011-06-01,-0.02346096651527542
2011-07-01,0.0011272893020170586
2011-08-01,-0.015820735428168056
2011-09-01,-0.008754948202625363
2011-10-01,0.05768458564493447
2011-11-01,0.026935527673070805
2011-12-01,0.02091193977252939
2012-01-01,0.003554178767055114
2012-02-01,0.026597686289041838
2012-03-01,0.02362563836149801
2012-04-01,-0.022477374322379624
2012-05-01,-0.017774066887714424
2012-06-01,0.03730176254279065
2012-07-01,0.03481983179836138
2012-08-01,0.008081183940603918
2012-09-01,0.04049183099709036
2012-10-01,-0.010100887163752206
2012-11-01,-0.017881447211808836
2012-12-01,-0.019066961141197658
2013-01-01,0.061501002343801736
2013-02-01,0.0061917548569865805
2013-03-01,0.04192488099245716
2013-04-01,0.0002950628034099287
2013-05-01,0.005404408638308829
2013-06-01,-0.018843493508641673
2013-07-01,0.04071405441668822
2013-08-01,-0.05301305027820574
2013-09-01,-0.0038722511431999187
2013-10-01,0.03156974638105429
2013-11-01,0.03980469160554671
2013-12-01,0.013700602055721685
2014-01-01,-0.0623782788135869
2014-02-01,0.02989064221183372
2014-03-01,0.02891994221320072
2014-04-01,0.03327570592344196
2014-05-01,-0.029743533694935757
2014-06-01,-0.004834354525653324
2014-07-01,-0.002701967470979518
2014-08-01,0.04351908926278441
2014-09-01,-0.0029638441360913034
2014-10-01,-0.014388917041921608
2014-11-01,0.05049565961526414
2014-12-01,-0.021372164212811694
2015-01-01,-0.05078918486966032
2015-02-01,0.028175119715190527
2015-03-01,-0.01857684334006845
2015-04-01,0.004318420954109196
2015-05-01,-0.002286449722769737
2015-06-01,-0.027717027185209898
2015-07-01,0.015377541453342513
2015-08-01,-0.08483504824183968
2015-09-01,-0.001715126068469666
2015-10-01,0.025776564269346727
2015-11-01,0.0047068536241468084
2015-12-01,0.010916547047535932
2016-01-01,-0.025221854024629762
2016-02-01,0.008738820089189244
2016-03-01,0.0757191067929855
2016-04-01,0.004177698663007081
2016-05-01,0.03221866801565956
2016-06-01,0.02308453419825755
2016-07-01,0.028493396430890675
2016-08-01,-0.015439094384288775
2016-09-01,-0.0071192379827483545
2016-10-01,-0.023505045157601597
2016-11-01,0.014914779595863365
2016-12-01,0.012223924783344957
2017-01-01,-0.0033868956176775155
2017-02-01,0.04624675131262435
2017-03-01,0.0060287151860911985
2017-04-01,0.023790744972865582
2017-05-01,0.022763924818735844
2017-06-01,0.0054174346464182
2017-07-01,0.017201171961273062
2017-08-01,0.018268791743224592
2017-09-01,0.027379638512471337
2017-10-01,0.05414851428757673
2017-11-01,0.037406048770970445
2017-12-01,0.018968139707965945
2018-01-01,0.04660463015528149
2018-02-01,-0.043580973494277454
2018-03-01,-0.024010353087595415
2018-04-01,-0.013338349966597923
2018-05-01,0.006188217741949996
2018-06-01,-0.00020231925407759773
2018-07-01,0.08002889763989465
2018-08-01,0.013954363346656064
2018-09-01,0.033597241208388556
2018-10-01,-0.0869399307749177
2018-11-01,0.08177612425917383
2018-12-01,-0.07290929578670866
2019-01-01,0.025063855389550735
2019-02-01,0.01789023303502157
2019-03-01,0.014227334326316194
2019-04-01,0.00867822882623779
2019-05-01,-0.04480164721490362
2019-06-01,0.06550368363097733
2019-07-01,-0.013379186566405691
2019-08-01,-0.02813893956747767
2019-09-01,0.0194158740190277
2019-10-01,0.041792377105399243
2019-11-01,0.021050889410472794
2019-12-01,0.029539050469502462
2020-01-01,-0.0064921435682817
2020-02-01,-0.07222636021464553
2020-03-01,-0.07547173534360052
2020-04-01,0.0835439813327451
2020-05-01,0.023062635641855046
2020-06-01,0.017417482252888663
2020-07-01,0.060211692505003994
2020-08-01,0.06983638093542208
2020-09-01,-0.005373335022556524
2020-10-01,-0.001272672127550801
2020-11-01,0.08097097416868142
2020-12-01,0.01019551937785549
2021-01-01,-0.006617813903802935
2021-02-01,0.009858162250922455
2021-03-01,0.0629835726119904
2021-04-01,0.02630755104943814
2021-05-01,0.017824098436942746
2021-06-01,0.009873634143758333
2021-07-01,0.054910740861818866
2021-08-01,0.0414089480458721
2021-09-01,-0.05448051126753289
2021-10-01,0.07349767303201232
2021-11-01,0.05001661771828542
2021-12-01,0.07703413805117035
