,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
2014-11-01,0.07314020666147511,3.6830369750799295e-11,0.2499999998977297,2.8022908020651083e-11,1.6478855226582482e-11,0.04999999955163974,5.336598093509252e-11,0.04999999985632706,0.2331239375476549,0.24999999995116196,0.09373585635756486,4.1748358822981863e-11
2014-12-01,0.07314020672717694,3.8424120177805124e-11,0.2499999998783416,3.030286806591108e-11,1.744845980442988e-11,0.04999999944912412,5.888340282393982e-11,0.0499999998564469,0.2331239373072796,0.24999999994971364,0.0937358566377756,4.90825370303248e-11
2015-01-01,0.07314020673718653,3.796574013276875e-11,0.24999999987601124,3.0860473025211204e-11,1.740785595868295e-11,0.04999999943585887,5.918471433112394e-11,0.049999999857443765,0.23312393727336034,0.24999999994981445,0.0937358566750101,4.9895475655961304e-11
2015-02-01,0.0731402067225576,3.874642945178795e-11,0.24999999987123217,3.1752725890287207e-11,1.7676236357046404e-11,0.04999999945965785,6.159494555012568e-11,0.04999999985185105,0.23312393732281214,0.24999999994974667,0.09373585661876932,5.360231889210942e-11
2015-03-01,0.06305855750115975,1.7166692453646894e-10,0.24999999846891688,1.8117185973718197e-10,7.440026126927309e-11,0.027577392093603364,2.4696315160066553e-10,3.2012367114632912e-09,0.24999999963270952,0.24999999975792367,0.15936404858898717,8.12614659015465e-11
2015-04-01,0.06305856305398241,3.171251804134161e-10,0.24999999351547858,3.0146765332485544e-10,1.0341689263757985e-10,0.027577422582564882,1.059520854751335e-09,1.0869853570361285e-09,0.24999999935315154,0.2499999995370417,0.15936401904633443,4.293033880974547e-11
2015-05-01,0.06305856288492284,3.367056174500929e-10,0.249999992883593,3.217747382354929e-10,1.0606208992072134e-10,0.02757742167011938,9.182399008133211e-10,1.1854854692504183e-09,0.2499999995045632,0.24999999954808333,0.1593640205822364,5.821387934595866e-11
2015-06-01,0.06305856325976791,3.4700160126586255e-10,0.24999999300935735,3.3196443453809285e-10,1.0852280996105799e-10,0.02757742517485723,1.0315167943223576e-09,1.1687472577494191e-09,0.24999999938643988,0.24999999951351726,0.1593640166182143,5.0092894956930743e-11
2015-07-01,0.04257905735086961,6.820107929848854e-09,0.17163717798757927,1.346399647186761e-06,1.032960301003408e-09,0.026420267591897566,0.03858952374641188,0.04099898673676586,0.24999999506005796,0.24999984216777504,0.17977379119454326,3.9113839145232255e-09
2015-08-01,0.021436150555429655,2.663163040745794e-09,0.17163716572317247,1.3370138621522918e-06,2.9921097646451634e-10,7.775051964096363e-09,5.21312138686416e-09,0.11069694808444501,0.24999999904526776,0.23615258315147847,0.21007579941277424,1.0630229829969481e-09
2015-09-01,7.163815336109402e-09,7.052310729687749e-09,0.09582784332925895,0.04778731900673649,2.2189196400749314e-10,3.963564176399897e-09,1.8961084683123973e-09,0.1201286295094054,0.24999999905161244,0.2362561911418869,0.24999999649403423,1.169374999860054e-09
2015-10-01,0.0036571613713161557,1.9397340649741226e-09,0.095827839215734,0.049999989351908324,1.042227810779543e-09,0.09413014244662922,1.4980471488443313e-08,0.11582676355666742,0.2499999992293594,0.14055808613327617,0.24999999654588978,4.186786202969733e-09
