,turnover
2011-09-01,1.0234798144305137e-08
2011-10-01,9.579472704345734e-08
2011-11-01,5.3775359010035165e-08
2011-12-01,4.995566629107396e-09
2012-01-01,1.0669625859238495e-07
2012-02-01,6.336602594004218e-08
2012-03-01,3.3990126094758094e-08
2012-04-01,6.99847829657343e-08
2012-05-01,2.5900229187067617e-09
2012-06-01,1.5561778851989017e-07
2012-07-01,4.026285228530619e-08
2012-08-01,4.316286597409085e-08
2012-09-01,8.892763136059765e-09
2012-10-01,1.7644930833604235e-07
2012-11-01,6.739909189104215e-08
2012-12-01,1.7270851115694654e-07
2013-01-01,5.8903753797674815e-08
2013-02-01,1.2193904080313293e-07
2013-03-01,9.057848593697863e-08
2013-04-01,2.0836033208872504e-08
2013-05-01,3.4168763266110297e-08
2013-06-01,2.7441553459634556e-08
2013-07-01,8.21125457438322e-08
2013-08-01,0.06898356386845063
2013-09-01,2.903355696583118e-08
2013-10-01,0.019970574663830624
2013-11-01,5.4995778767740155e-08
2013-12-01,0.19999990412380403
2014-01-01,0.1999997776976731
2014-02-01,0.19999973235365248
2014-03-01,0.19999997315128912
2014-04-01,0.19999998796523433
2014-05-01,0.19999988837815474
2014-06-01,0.19999994508841806
2014-07-01,0.19999951207915007
2014-08-01,0.19999969276550494
2014-09-01,0.09700230860672598
2014-10-01,1.2282165748872024e-07
2014-11-01,2.1375293588250896e-07
2014-12-01,7.274546661182868e-10
2015-01-01,1.0002745762449373e-10
2015-02-01,1.6261844929438878e-10
2015-03-01,0.16500850966441122
2015-04-01,7.429822605065381e-08
2015-05-01,3.7093432325419377e-09
2015-06-01,8.283141223463694e-09
2015-07-01,0.1999992803715204
2015-08-01,0.19999994710223953
2015-09-01,0.19449094598269506
2015-10-01,0.19999996037490061
2015-11-01,0.19999944213916473
2015-12-01,0.19999964336690054
2016-01-01,0.1999998195891593
2016-02-01,0.1999992637494591
2016-03-01,0.19999961264302646
2016-04-01,0.03887517243412987
2016-05-01,1.6839177845304074e-07
2016-06-01,4.570642763942699e-08
2016-07-01,3.155602171842458e-08
2016-08-01,1.4046175562222372e-08
2016-09-01,9.110650980252614e-09
2016-10-01,3.167357663624562e-09
2016-11-01,0.19999988046922385
2016-12-01,0.19999994117960151
2017-01-01,0.1999993531453574
2017-02-01,0.14677263814485048
2017-03-01,1.579751765217141e-07
2017-04-01,4.4979559158357413e-08
2017-05-01,1.8988031559097697e-08
2017-06-01,1.4248388101241379e-08
2017-07-01,0.1999992015430071
2017-08-01,0.025495648642401017
2017-09-01,6.742736150571097e-07
2017-10-01,6.75963195807234e-07
2017-11-01,2.3665170637555707e-09
2017-12-01,8.644557850521267e-09
2018-01-01,6.499013125776169e-10
2018-02-01,1.0237918395418999e-09
2018-03-01,4.49500212109728e-10
2018-04-01,0.19999994663836507
2018-05-01,0.19999980657667693
2018-06-01,0.19343112515204383
2018-07-01,1.0689744808887083e-07
2018-08-01,1.3647768575506143e-10
2018-09-01,1.4815095460858459e-10
2018-10-01,7.34224796977205e-11
2018-11-01,9.351886128825134e-11
2018-12-01,0.1999999764528528
2019-01-01,0.19999994940715343
